step,V_C.nT0,V_C.T0,V_C.nT1,V_C.T1,V_C.aPD1,V_C.aPDL1,V_C.aCTLA4,V_C.Th,V_C.cabozantinib,V_C.A_site1,V_C.A_site2,V_P.nT0,V_P.T0,V_P.nT1,V_P.T1,V_P.aPD1,V_P.aPDL1,V_P.aCTLA4,V_P.Th,V_P.cabozantinib,V_T.C_x,V_T.T1_exh,V_T.Th_exh,V_T.C1,V_T.K,V_T.c_vas,V_T.C2,V_T.T0,V_T.T1,V_T.IFNg,V_T.APC,V_T.mAPC,V_T.P0,V_T.P1,V_T.aPD1,V_T.aPDL1,V_T.aCTLA4,V_T.Th,V_T.TGFb,V_T.MDSC,V_T.NO,V_T.ArgI,V_T.CCL2,V_T.cabozantinib,V_T.Mac_M1,V_T.Mac_M2,V_T.IL12,V_T.IL10,V_T.Fib,V_T.CAF,V_T.ECM,V_LN.nT0,V_LN.aT0,V_LN.T0,V_LN.IL2,V_LN.nT1,V_LN.aT1,V_LN.T1,V_LN.APC,V_LN.mAPC,V_LN.aPD1,V_LN.aPDL1,V_LN.aCTLA4,V_LN.aTh,V_LN.Th,V_LN.cabozantinib,V_e.P0,V_e.p0,V_e.P1,V_e.p1,A_e.M1,A_e.M1p0,A_e.M1p1,A_s.M1,A_s.M1p0,A_s.M1p1,syn_T_C1.PD1_PDL1,syn_T_C1.PD1_PDL2,syn_T_C1.PD1,syn_T_C1.PDL1,syn_T_C1.PDL2,syn_T_C1.PD1_aPD1,syn_T_C1.PD1_aPD1_PD1,syn_T_C1.PDL1_aPDL1,syn_T_C1.PDL1_aPDL1_PDL1,syn_T_C1.TPDL1,syn_T_C1.TPDL1_aPDL1,syn_T_C1.TPDL1_aPDL1_TPDL1,syn_T_C1.CD28_CD80,syn_T_C1.CD28_CD80_CD28,syn_T_C1.CD28_CD86,syn_T_C1.CD80_CTLA4,syn_T_C1.CD80_CTLA4_CD80,syn_T_C1.CTLA4_CD80_CTLA4,syn_T_C1.CD80_CTLA4_CD80_CTLA4,syn_T_C1.CD86_CTLA4,syn_T_C1.CD86_CTLA4_CD86,syn_T_C1.PDL1_CD80,syn_T_C1.PDL1_CD80_CD28,syn_T_C1.PDL1_CD80_CTLA4,syn_T_C1.CD28,syn_T_C1.CTLA4,syn_T_C1.CD80,syn_T_C1.CD80m,syn_T_C1.CD86,syn_T_C1.CTLA4_aCTLA4,syn_T_C1.CTLA4_aCTLA4_CTLA4,syn_T_APC.PD1_PDL1,syn_T_APC.PD1_PDL2,syn_T_APC.PD1,syn_T_APC.PDL1,syn_T_APC.PDL2,syn_T_APC.PD1_aPD1,syn_T_APC.PD1_aPD1_PD1,syn_T_APC.PDL1_aPDL1,syn_T_APC.PDL1_aPDL1_PDL1,syn_T_APC.TPDL1,syn_T_APC.TPDL1_aPDL1,syn_T_APC.TPDL1_aPDL1_TPDL1,syn_T_APC.CD28_CD80,syn_T_APC.CD28_CD80_CD28,syn_T_APC.CD28_CD86,syn_T_APC.CD80_CTLA4,syn_T_APC.CD80_CTLA4_CD80,syn_T_APC.CTLA4_CD80_CTLA4,syn_T_APC.CD80_CTLA4_CD80_CTLA4,syn_T_APC.CD86_CTLA4,syn_T_APC.CD86_CTLA4_CD86,syn_T_APC.PDL1_CD80,syn_T_APC.PDL1_CD80_CD28,syn_T_APC.PDL1_CD80_CTLA4,syn_T_APC.CD28,syn_T_APC.CTLA4,syn_T_APC.CD80,syn_T_APC.CD80m,syn_T_APC.CD86,syn_T_APC.CTLA4_aCTLA4,syn_T_APC.CTLA4_aCTLA4_CTLA4,syn_M_C.CD47,syn_M_C.SIRPa,syn_M_C.CD47_SIRPa,syn_M_C.PD1_PDL1,syn_M_C.PD1_PDL2,syn_M_C.PD1,syn_M_C.PDL1,syn_M_C.PDL2,syn_M_C.PD1_aPD1,syn_M_C.PD1_aPD1_PD1,syn_M_C.PDL1_aPDL1,syn_M_C.PDL1_aPDL1_PDL1,syn_M_C.PDL1_CD80,syn_M_C.CD80,syn_M_C.CD80m,syn_M_C.PDL1_total,syn_M_C.PDL2_total
0,1956.4,28816.2,1872.3,1.21015e+07,259.731,0,0,4.17877e+06,95.2989,11775.2,6049.49,97457.3,4.21452e+06,93272.9,1.76877e+09,1.24522,0,0,6.10778e+08,0.0125017,4.25463e+07,6.39156e+08,1.20699e+08,1.96919e+10,6.00523e+11,2147.21,1.47254e+09,4.29949e+08,5.30264e+08,0.000750157,251009,63792.1,4.88989e-09,5.86787e-09,6.55882,0,0,1.25559e+09,0.0772315,2.48878e+07,1.34899,0.240889,0.380897,0.49331,2.97442e+08,2.90991e+08,0.00409959,0.00332686,1.03662e+08,4.168e+08,27343.7,21.9268,700.807,3821.72,0.60958,8.87562,186823,2.7411e+06,1.33518e+06,8.18418e+06,2.64727,0,0,173449,945502,0.483712,3.91108e-09,4.4988e-10,4.69329e-09,5.39848e-10,605.133,0.00128689,0.00154488,20.1714,0.0165968,6.15626,0.373325,0.13693,0.046099,119.971,12.3423,0.28773,91.7727,6.53774e-26,5.42678e-19,553.167,0,0,6.24821e-27,-0,835.486,1.90082,16.8411,0.13436,4.76166,1.81158,15.297,50.7555,5.15793e-38,7.17532,380.556,0.0536353,6.72282,14.3693,79.3273,0,0,0.631375,0.223875,0.0449186,208.23,20.7096,0.294728,91.5973,4.92835e-26,7.10039e-19,553.167,0,0,2.04952e-26,-0,838.197,1.66845,11.5328,0.132686,3.66864,2.05946,17.5716,77.8115,7.85113e-38,12.3762,377.846,0.0603441,5.24495,12.692,80.1555,0,0,300.951,0.95136,99.0486,0.0640264,0.0303259,0.0101221,93.7065,12.449,0.0632177,4.42735,0,0,84.5049,30.5465,30.6296,178.275,12.4793
1,1956.41,28632.4,1872.3,1.20704e+07,242.438,0,0,4.168e+06,88.552,10880,5964.21,97457.9,4.18764e+06,93273,1.76423e+09,2.35503,0,0,6.09203e+08,0.0116166,4.8367e+07,6.27291e+08,1.20821e+08,1.97381e+10,5.84756e+11,2146.74,1.47685e+09,4.30365e+08,5.42875e+08,0.000757502,251690,63966.3,5.06863e-09,6.08235e-09,8.30912,0,0,1.25672e+09,0.0771423,2.49582e+07,1.34929,0.240905,0.380885,0.458384,2.98313e+08,2.91781e+08,0.0041003,0.00332711,1.03956e+08,4.17801e+08,27406.4,21.9285,699.222,3812.95,0.609579,8.87661,186821,2.74106e+06,1.33518e+06,8.20708e+06,3.31275,0,0,173445,945476,0.449466,4.1882e-09,4.83861e-10,5.02584e-09,5.80624e-10,605.171,0.00145517,0.00174696,20.1726,0.0167052,6.15424,0.33103,0.121533,0.0408447,120.065,12.364,0.324789,91.7856,6.53265e-26,5.42679e-19,553.167,0,0,-0,-0,835.482,1.90062,16.8343,0.134373,4.7607,1.81192,15.2996,50.7872,5.16121e-38,7.18126,380.56,0.0536461,6.72078,14.367,79.326,0,0,0.562697,0.199699,0.0400111,208.343,20.7393,0.330987,91.6281,4.92569e-26,7.10042e-19,553.167,0,0,-0,-0,838.194,1.66815,11.5269,0.132682,3.66732,2.05974,17.5737,77.8402,7.8541e-38,12.3826,377.849,0.0603531,5.24321,12.6898,80.1545,0,0,300.951,0.95136,99.0486,0.0567885,0.0269008,0.00897209,93.7675,12.4586,0.07135,4.42919,0,0,84.5403,30.5324,30.6224,178.365,12.4855
2,1956.42,28449.8,1872.3,1.20394e+07,226.88,0,0,4.15724e+06,82.3089,10052.9,5880.12,97458.5,4.16092e+06,93273.1,1.75969e+09,3.34351,0,0,6.07631e+08,0.0107976,5.42687e+07,6.1578e+08,1.20942e+08,1.97843e+10,5.69501e+11,2146.26,1.48115e+09,4.30781e+08,5.55423e+08,0.00076563,252367,64138.9,5.24194e-09,6.29033e-09,8.48702,0,0,1.25784e+09,0.0770529,2.50287e+07,1.34958,0.240923,0.38085,0.426067,2.99192e+08,2.92566e+08,0.00410109,0.0033274,1.04249e+08,4.18803e+08,27469.3,21.93,697.778,3804.94,0.609578,8.87758,186818,2.74102e+06,1.33518e+06,8.23004e+06,3.37368,0,0,173441,945449,0.417778,4.33492e-09,5.0086e-10,5.2019e-09,6.01023e-10,605.208,0.00150784,0.00181018,20.1739,0.0168227,6.15224,0.327878,0.120376,0.0403919,120.255,12.3836,0.328432,91.7862,6.52232e-26,5.42679e-19,553.167,0,0,4.05488e-27,1.0173e-27,835.474,1.90024,16.8205,0.134401,4.75875,1.8126,15.3048,50.8516,5.16788e-38,7.19332,380.569,0.0536681,6.71665,14.3625,79.3234,0,0,0.557915,0.197995,0.0396194,208.615,20.7657,0.334265,91.6299,4.91926e-26,7.10041e-19,553.167,0,0,2.45262e-27,1.01722e-27,838.185,1.66742,11.5126,0.132672,3.6641,2.06042,17.579,77.9098,7.8613e-38,12.3982,377.858,0.060375,5.23901,12.6845,80.1518,0,0,300.951,0.95136,99.0486,0.0562618,0.0266437,0.00887308,93.9346,12.4773,0.0721468,4.42923,0,0,84.6371,30.4937,30.603,178.628,12.504
3,1956.43,28268.2,1872.3,1.20084e+07,212.867,0,0,4.14652e+06,76.5336,9288.7,5797.23,97459.1,4.13437e+06,93273.2,1.75517e+09,4.22322,0,0,6.06063e+08,0.01004,6.02484e+07,6.04624e+08,1.21063e+08,1.98307e+10,5.54749e+11,2145.78,1.48543e+09,4.31196e+08,5.67901e+08,0.000773784,253043,64310.7,5.41418e-09,6.49702e-09,8.17676,0,0,1.25897e+09,0.0769633,2.50994e+07,1.34987,0.240942,0.380801,0.396172,3.00078e+08,2.93348e+08,0.00410196,0.00332766,1.04541e+08,4.19808e+08,27532.3,21.9315,696.478,3797.7,0.609578,8.87856,186816,2.74097e+06,1.33518e+06,8.25306e+06,3.24742,0,0,173436,945421,0.388464,4.47862e-09,5.1748e-10,5.37434e-09,6.20965e-10,605.246,0.00155825,0.0018707,20.1751,0.0169459,6.15025,0.334715,0.122854,0.0411434,120.521,12.4077,0.322426,91.7841,6.50795e-26,5.42679e-19,553.167,0,0,-0,-0,835.462,1.89969,16.8012,0.134439,4.75601,1.81356,15.3122,50.9417,5.1772e-38,7.2102,380.581,0.0536989,6.71086,14.3563,79.3198,0,0,0.569636,0.202092,0.0403716,209.03,20.8005,0.328019,91.6247,4.90951e-26,7.10041e-19,553.167,0,0,1.11588e-25,5.50517e-26,838.172,1.6663,11.4907,0.132656,3.65917,2.06145,17.5869,78.0161,7.8723e-38,12.4219,377.871,0.0604084,5.23259,12.6767,80.1478,0,0,300.951,0.95136,99.0486,0.0574543,0.0271958,0.0090381,94.1741,12.5033,0.0708248,4.42894,0,0,84.7757,30.4383,30.5751,179.007,12.5305
4,1956.45,28087.9,1872.31,1.19776e+07,200.236,0,0,4.13582e+06,166.489,20357.8,11765,97459.7,4.108e+06,93273.3,1.75066e+09,5.00535,0,0,6.04499e+08,0.0218408,6.63056e+07,5.93816e+08,1.21184e+08,1.98737e+10,5.397e+11,2145.25,1.48974e+09,4.31611e+08,5.80305e+08,0.000781906,253714,64481.6,5.58639e-09,6.70367e-09,7.73934,0,0,1.26009e+09,0.0768793,2.51702e+07,1.35033,0.240963,0.380738,0.861823,3.00972e+08,2.94125e+08,0.00410294,0.00332801,1.04831e+08,4.20815e+08,27595.4,21.933,695.322,3791.26,0.609577,8.87952,186814,2.74093e+06,1.33518e+06,8.27613e+06,3.07289,0,0,173431,945392,0.845056,4.62211e-09,5.34073e-10,5.54653e-09,6.40877e-10,605.283,0.00160854,0.00193108,20.1764,0.0170746,6.14826,0.344911,0.126551,0.0422867,120.834,12.4355,0.313697,91.781,6.49107e-26,5.42679e-19,553.167,0,0,1.73379e-28,9.81778e-29,835.447,1.89904,16.7784,0.134485,4.75278,1.81469,15.3209,51.0481,5.1882e-38,7.23015,380.595,0.0537353,6.70404,14.3489,79.3155,0,0,0.586964,0.208152,0.0414968,209.548,20.8434,0.319097,91.6169,4.89736e-26,7.1004e-19,553.167,0,0,2.51071e-28,1.38648e-28,838.156,1.66489,11.4634,0.132636,3.653,2.06275,17.5969,78.149,7.88605e-38,12.4517,377.887,0.0604503,5.22455,12.6669,80.1428,0,0,300.951,0.95136,99.0486,0.0592272,0.0280192,0.00928898,94.4582,12.534,0.0689046,4.42848,0,0,84.9398,30.3728,30.5422,179.457,12.562
5,1956.46,27908.9,1872.31,1.19468e+07,188.844,0,0,4.12515e+06,154.799,18810.1,11599.1,97460.3,4.08181e+06,93273.5,1.74616e+09,5.69996,0,0,6.0294e+08,0.0203072,7.24397e+07,5.83347e+08,1.21304e+08,1.99166e+10,5.25059e+11,2144.69,1.49404e+09,4.32025e+08,5.92634e+08,0.000789972,254377,64650.6,5.75852e-09,6.91023e-09,7.29234,0,0,1.26121e+09,0.0767979,2.52411e+07,1.35079,0.240987,0.380664,0.801307,3.01872e+08,2.94899e+08,0.00410407,0.00332849,1.05119e+08,4.21823e+08,27658.6,21.9345,694.313,3785.61,0.609577,8.88049,186812,2.74088e+06,1.33518e+06,8.29926e+06,2.89529,0,0,173427,945362,0.785718,4.76557e-09,5.50661e-10,5.71868e-09,6.60783e-10,605.32,0.00165882,0.00199144,20.1776,0.017209,6.14629,0.356315,0.130683,0.0435615,121.176,12.4657,0.304505,91.7772,6.47273e-26,5.42678e-19,553.167,0,0,4.38692e-27,2.06627e-27,835.432,1.89834,16.7535,0.134534,4.74924,1.81592,15.3304,51.1642,5.20021e-38,7.25195,380.611,0.053775,6.69659,14.3409,79.3108,0,0,0.606355,0.214927,0.042747,210.14,20.8924,0.309735,91.6079,4.88357e-26,7.1004e-19,553.167,0,0,-0,-0,838.137,1.66328,11.4322,0.132613,3.64595,2.06424,17.6083,78.3007,7.90174e-38,12.4858,377.906,0.060498,5.21538,12.6557,80.1371,0,0,300.951,0.95136,99.0486,0.0612108,0.0289398,0.00956861,94.7689,12.5675,0.0668822,4.4279,0,0,85.1187,30.3013,30.5062,179.949,12.5964
6,1956.47,27731.1,1872.31,1.19161e+07,178.564,0,0,4.11451e+06,143.981,17380.2,11435.6,97461,4.05581e+06,93273.6,1.74167e+09,6.31607,0,0,6.01384e+08,0.0188881,7.86507e+07,5.7321e+08,1.21424e+08,1.99598e+10,5.10868e+11,2144.13,1.49832e+09,4.32438e+08,6.04887e+08,0.000797935,255037,64817.8,5.93059e-09,7.11671e-09,6.87156,0,0,1.26232e+09,0.076716,2.53122e+07,1.35125,0.241013,0.380582,0.745311,3.02778e+08,2.9567e+08,0.00410532,0.00332898,1.05405e+08,4.22834e+08,27721.9,21.9359,693.453,3780.76,0.609576,8.88145,186810,2.74084e+06,1.33518e+06,8.32244e+06,2.72831,0,0,173422,945331,0.730812,4.90897e-09,5.67244e-10,5.89077e-09,6.80682e-10,605.356,0.00170909,0.00205179,20.1788,0.0173488,6.14432,0.368134,0.134963,0.044874,121.534,12.4974,0.295585,91.7729,6.45367e-26,5.42678e-19,553.167,0,0,6.60736e-27,3.07165e-27,835.416,1.8976,16.7275,0.134585,4.74553,1.81721,15.3403,51.2854,5.21275e-38,7.27473,380.627,0.0538165,6.68882,14.3326,79.3058,0,0,0.626495,0.221956,0.0440325,210.781,20.9457,0.30066,91.5982,4.86872e-26,7.1004e-19,553.167,0,0,2.0959e-27,9.93019e-28,838.117,1.66154,11.3985,0.132587,3.6383,2.06584,17.6206,78.4646,7.91871e-38,12.5226,377.926,0.0605496,5.20547,12.6436,80.131,0,0,300.951,0.95136,99.0486,0.0632679,0.0298932,0.0098564,95.0937,12.6025,0.0649196,4.42723,0,0,85.3054,30.2267,30.4687,180.462,12.6324
7,1956.48,27554.6,1872.31,1.18855e+07,169.283,0,0,4.10389e+06,133.973,16058.9,11274.4,97461.6,4.02999e+06,93273.7,1.7372e+09,6.86176,0,0,5.99833e+08,0.0175751,8.49387e+07,5.63396e+08,1.21544e+08,2.00032e+10,4.9712e+11,2143.57,1.5026e+09,4.32851e+08,6.17065e+08,0.000805791,255693,64984,6.10252e-09,7.32302e-09,6.486,0,0,1.26343e+09,0.0766337,2.53834e+07,1.35169,0.241041,0.380495,0.693502,3.03689e+08,2.96438e+08,0.00410669,0.00332941,1.05689e+08,4.23847e+08,27785.3,21.9372,692.742,3776.73,0.609575,8.88241,186808,2.74079e+06,1.33518e+06,8.34567e+06,2.57538,0,0,173417,945298,0.680011,5.05228e-09,5.83816e-10,6.06273e-09,7.00567e-10,605.392,0.00175933,0.00211211,20.18,0.0174942,6.14235,0.380043,0.139271,0.0461872,121.898,12.5297,0.287166,91.7684,6.4344e-26,5.42678e-19,553.167,0,0,-0,-0,835.399,1.89684,16.7011,0.134637,4.74175,1.81852,15.3504,51.4086,5.22551e-38,7.29792,380.643,0.0538586,6.68092,14.3241,79.3008,0,0,0.646841,0.229047,0.0453181,211.452,21.0017,0.292098,91.5881,4.85325e-26,7.1004e-19,553.167,0,0,6.67104e-26,3.17129e-26,838.096,1.65971,11.3633,0.132559,3.63029,2.06751,17.6335,78.6361,7.93645e-38,12.5611,377.947,0.0606036,5.19511,12.631,80.1245,0,0,300.951,0.95136,99.0486,0.0653422,0.0308532,0.0101443,95.4245,12.6381,0.0630669,4.42649,0,0,85.4949,30.1511,30.4305,180.985,12.6689
8,1956.49,27379.4,1872.31,1.18549e+07,160.898,0,0,4.09331e+06,220.011,26613.3,17164.9,97462.2,4.00436e+06,93273.8,1.73274e+09,7.34429,0,0,5.98287e+08,0.0288619,9.13034e+07,5.53897e+08,1.21664e+08,2.00436e+10,4.83447e+11,2142.97,1.50688e+09,4.33264e+08,6.29167e+08,0.000813591,256344,65149.2,6.27449e-09,7.52939e-09,6.1362,0,0,1.26453e+09,0.0765562,2.54547e+07,1.35228,0.241072,0.380402,1.13887,3.04606e+08,2.97204e+08,0.0041082,0.00332992,1.05971e+08,4.24861e+08,27848.7,21.9386,692.182,3773.51,0.609574,8.88336,186806,2.74074e+06,1.33518e+06,8.36895e+06,2.43666,0,0,173412,945265,1.11672,5.19558e-09,6.00386e-10,6.2347e-09,7.20452e-10,605.428,0.00180957,0.00217242,20.1812,0.0176451,6.1404,0.391885,0.143552,0.0474843,122.263,12.562,0.279308,91.7636,6.41518e-26,5.42678e-19,553.167,0,0,-0,-0,835.383,1.89608,16.6747,0.134688,4.73795,1.81983,15.3605,51.5321,5.23828e-38,7.32118,380.66,0.0539008,6.67302,14.3156,79.2958,0,0,0.667128,0.23611,0.0465875,212.142,21.0594,0.284108,91.5778,4.83748e-26,7.1004e-19,553.167,0,0,-0,-0,838.075,1.65783,11.3272,0.132529,3.62206,2.06923,17.6467,78.8118,7.95463e-38,12.6006,377.968,0.0606588,5.18449,12.6181,80.1179,0,0,300.951,0.95136,99.0486,0.0674066,0.0318072,0.0104285,95.7564,12.6738,0.0613371,4.42571,0,0,85.6845,30.0754,30.3923,181.508,12.7056
9,1956.51,27205.6,1872.32,1.18245e+07,153.318,0,0,4.08276e+06,204.694,24590.1,16922.9,97462.8,3.97894e+06,93273.9,1.72829e+09,7.77019,0,0,5.96744e+08,0.0268526,9.77441e+07,5.44705e+08,1.21784e+08,2.0084e+10,4.70161e+11,2142.34,1.51116e+09,4.33676e+08,6.41192e+08,0.00082133,256988,65312.6,6.44621e-09,7.73545e-09,5.81983,0,0,1.26563e+09,0.0764808,2.55261e+07,1.35287,0.241107,0.380304,1.05959,3.05527e+08,2.97967e+08,0.00410986,0.00333055,1.0625e+08,4.25877e+08,27912.3,21.9399,691.774,3771.12,0.609573,8.88431,186803,2.74069e+06,1.33518e+06,8.39228e+06,2.31121,0,0,173407,945231,1.03897,5.33873e-09,6.1694e-10,6.40648e-09,7.40316e-10,605.464,0.00185978,0.0022327,20.1824,0.0178015,6.13846,0.403582,0.147777,0.0487566,122.627,12.5943,0.272004,91.7586,6.39617e-26,5.42677e-19,553.167,0,0,-0,-0,835.366,1.89532,16.6484,0.134739,4.73416,1.82113,15.3705,51.6548,5.25098e-38,7.34433,380.676,0.0539428,6.66516,14.3072,79.2909,0,0,0.687215,0.243094,0.0478325,212.841,21.118,0.276681,91.5673,4.82158e-26,7.10039e-19,553.167,0,0,-0,-0,838.053,1.65592,11.2907,0.132498,3.61371,2.07096,17.66,78.9896,7.97304e-38,12.6407,377.99,0.0607147,5.17374,12.605,80.1112,0,0,300.951,0.95136,99.0486,0.0694472,0.0327489,0.0107072,96.087,12.7093,0.0597293,4.42488,0,0,85.8728,30.0002,30.3543,182.029,12.7421
