step,V_C.nT0,V_C.T0,V_C.nT1,V_C.T1,V_C.aPD1,V_C.aPDL1,V_C.aCTLA4,V_C.Th,V_C.cabozantinib,V_C.A_site1,V_C.A_site2,V_P.nT0,V_P.T0,V_P.nT1,V_P.T1,V_P.aPD1,V_P.aPDL1,V_P.aCTLA4,V_P.Th,V_P.cabozantinib,V_T.C_x,V_T.T1_exh,V_T.Th_exh,V_T.C1,V_T.K,V_T.c_vas,V_T.C2,V_T.T0,V_T.T1,V_T.IFNg,V_T.APC,V_T.mAPC,V_T.P0,V_T.P1,V_T.aPD1,V_T.aPDL1,V_T.aCTLA4,V_T.Th,V_T.TGFb,V_T.MDSC,V_T.NO,V_T.ArgI,V_T.CCL2,V_T.cabozantinib,V_T.Mac_M1,V_T.Mac_M2,V_T.IL12,V_T.IL10,V_T.Fib,V_T.CAF,V_T.ECM,V_LN.nT0,V_LN.aT0,V_LN.T0,V_LN.IL2,V_LN.nT1,V_LN.aT1,V_LN.T1,V_LN.APC,V_LN.mAPC,V_LN.aPD1,V_LN.aPDL1,V_LN.aCTLA4,V_LN.aTh,V_LN.Th,V_LN.cabozantinib,V_e.P0,V_e.p0,V_e.P1,V_e.p1,A_e.M1,A_e.M1p0,A_e.M1p1,A_s.M1,A_s.M1p0,A_s.M1p1,syn_T_C1.PD1_PDL1,syn_T_C1.PD1_PDL2,syn_T_C1.PD1,syn_T_C1.PDL1,syn_T_C1.PDL2,syn_T_C1.PD1_aPD1,syn_T_C1.PD1_aPD1_PD1,syn_T_C1.PDL1_aPDL1,syn_T_C1.PDL1_aPDL1_PDL1,syn_T_C1.TPDL1,syn_T_C1.TPDL1_aPDL1,syn_T_C1.TPDL1_aPDL1_TPDL1,syn_T_C1.CD28_CD80,syn_T_C1.CD28_CD80_CD28,syn_T_C1.CD28_CD86,syn_T_C1.CD80_CTLA4,syn_T_C1.CD80_CTLA4_CD80,syn_T_C1.CTLA4_CD80_CTLA4,syn_T_C1.CD80_CTLA4_CD80_CTLA4,syn_T_C1.CD86_CTLA4,syn_T_C1.CD86_CTLA4_CD86,syn_T_C1.PDL1_CD80,syn_T_C1.PDL1_CD80_CD28,syn_T_C1.PDL1_CD80_CTLA4,syn_T_C1.CD28,syn_T_C1.CTLA4,syn_T_C1.CD80,syn_T_C1.CD80m,syn_T_C1.CD86,syn_T_C1.CTLA4_aCTLA4,syn_T_C1.CTLA4_aCTLA4_CTLA4,syn_T_APC.PD1_PDL1,syn_T_APC.PD1_PDL2,syn_T_APC.PD1,syn_T_APC.PDL1,syn_T_APC.PDL2,syn_T_APC.PD1_aPD1,syn_T_APC.PD1_aPD1_PD1,syn_T_APC.PDL1_aPDL1,syn_T_APC.PDL1_aPDL1_PDL1,syn_T_APC.TPDL1,syn_T_APC.TPDL1_aPDL1,syn_T_APC.TPDL1_aPDL1_TPDL1,syn_T_APC.CD28_CD80,syn_T_APC.CD28_CD80_CD28,syn_T_APC.CD28_CD86,syn_T_APC.CD80_CTLA4,syn_T_APC.CD80_CTLA4_CD80,syn_T_APC.CTLA4_CD80_CTLA4,syn_T_APC.CD80_CTLA4_CD80_CTLA4,syn_T_APC.CD86_CTLA4,syn_T_APC.CD86_CTLA4_CD86,syn_T_APC.PDL1_CD80,syn_T_APC.PDL1_CD80_CD28,syn_T_APC.PDL1_CD80_CTLA4,syn_T_APC.CD28,syn_T_APC.CTLA4,syn_T_APC.CD80,syn_T_APC.CD80m,syn_T_APC.CD86,syn_T_APC.CTLA4_aCTLA4,syn_T_APC.CTLA4_aCTLA4_CTLA4,syn_M_C.CD47,syn_M_C.SIRPa,syn_M_C.CD47_SIRPa,syn_M_C.PD1_PDL1,syn_M_C.PD1_PDL2,syn_M_C.PD1,syn_M_C.PDL1,syn_M_C.PDL2,syn_M_C.PD1_aPD1,syn_M_C.PD1_aPD1_PD1,syn_M_C.PDL1_aPDL1,syn_M_C.PDL1_aPDL1_PDL1,syn_M_C.PDL1_CD80,syn_M_C.CD80,syn_M_C.CD80m,syn_M_C.PDL1_total,syn_M_C.PDL2_total
10,1956.52,27033.2,1872.32,1.17942e+07,146.461,0,0,4.07224e+06,190.52,22720.8,16684.4,97463.4,3.95372e+06,93274,1.72385e+09,8.14529,0,0,5.95206e+08,0.0249932,1.04261e+08,5.35812e+08,1.21903e+08,2.01247e+10,4.57279e+11,2141.72,1.51542e+09,4.34087e+08,6.5314e+08,0.000828966,257628,65474.2,6.61759e-09,7.9411e-09,5.53366,0,0,1.26672e+09,0.0764048,2.55977e+07,1.35345,0.241144,0.380202,0.986214,3.06453e+08,2.98728e+08,0.00411165,0.00333117,1.06527e+08,4.26895e+08,27976,21.9412,691.519,3769.57,0.609572,8.88526,186801,2.74063e+06,1.33518e+06,8.41565e+06,2.19772,0,0,173402,945195,0.96703,5.48162e-09,6.33463e-10,6.57794e-09,7.60143e-10,605.499,0.0019099,0.00229287,20.1836,0.0179633,6.13652,0.415089,0.15193,0.0500002,122.986,12.6262,0.265224,91.7536,6.37747e-26,5.42677e-19,553.167,0,0,1.47741e-24,7.38162e-25,835.35,1.89457,16.6224,0.134789,4.73041,1.82242,15.3804,51.7761,5.26354e-38,7.36724,380.692,0.0539843,6.6574,14.2989,79.286,0,0,0.707022,0.249975,0.0490492,213.544,21.177,0.269787,91.5568,4.80571e-26,7.10039e-19,553.167,0,0,-0,-0,838.031,1.65399,11.2541,0.132467,3.60532,2.0727,17.6733,79.1679,7.9915e-38,12.6809,378.012,0.0607707,5.16297,12.5919,80.1046,0,0,300.951,0.95136,99.0486,0.0714562,0.0336748,0.0109796,96.4143,12.7444,0.0582364,4.42402,0,0,86.0587,29.926,30.3167,182.545,12.7781
11,1956.53,26862.2,1872.32,1.17639e+07,140.253,0,0,4.06175e+06,177.403,20993.5,16449.1,97464,3.9287e+06,93274.1,1.71943e+09,8.47485,0,0,5.93673e+08,0.0232725,1.10853e+08,5.2721e+08,1.22022e+08,2.01657e+10,4.44794e+11,2141.09,1.51967e+09,4.34498e+08,6.65013e+08,0.000836494,258265,65634.9,6.78852e-09,8.14623e-09,5.27463,0,0,1.26782e+09,0.0763282,2.56694e+07,1.35401,0.241184,0.380097,0.918318,3.07383e+08,2.99486e+08,0.00411355,0.00333175,1.06803e+08,4.27914e+08,28039.7,21.9425,691.42,3768.86,0.60957,8.88621,186799,2.74058e+06,1.33518e+06,8.43907e+06,2.09499,0,0,173396,945159,0.900455,5.62415e-09,6.49946e-10,6.74898e-09,7.79922e-10,605.535,0.00195991,0.0023529,20.1848,0.0181305,6.13459,0.426373,0.155999,0.0512121,123.34,12.6576,0.258934,91.7484,6.35917e-26,5.42677e-19,553.167,0,0,-0,-0,835.334,1.89383,16.5968,0.134838,4.7267,1.82368,15.3902,51.8953,5.27588e-38,7.38977,380.708,0.054025,6.64977,14.2907,79.2811,0,0,0.726487,0.256728,0.0502346,214.245,21.2359,0.26339,91.5463,4.78998e-26,7.10039e-19,553.167,0,0,7.97954e-25,3.96417e-25,838.01,1.65207,11.2177,0.132434,3.59696,2.07443,17.6866,79.3453,8.00987e-38,12.721,378.033,0.0608265,5.15225,12.5788,80.0979,0,0,300.951,0.95136,99.0486,0.0734275,0.034582,0.0112449,96.7366,12.779,0.0568511,4.42314,0,0,86.2413,29.8532,30.2798,183.051,12.8136
12,1956.54,26692.7,1872.32,1.17337e+07,134.627,0,0,4.05129e+06,260.564,31172.8,22266.7,97464.6,3.9039e+06,93274.3,1.71502e+09,8.76358,0,0,5.92145e+08,0.0341819,1.1752e+08,5.18892e+08,1.22141e+08,2.02039e+10,4.32465e+11,2140.43,1.52393e+09,4.34909e+08,6.7681e+08,0.000843968,258898,65794.8,6.95922e-09,8.35106e-09,5.04015,0,0,1.2689e+09,0.0762559,2.57411e+07,1.3547,0.241227,0.379988,1.34879,3.08317e+08,3.00243e+08,0.00411558,0.00333239,1.07076e+08,4.28936e+08,28103.6,21.9437,691.476,3768.99,0.609569,8.88715,186797,2.74052e+06,1.33518e+06,8.46253e+06,2.00201,0,0,173391,945122,1.32256,5.76645e-09,6.66401e-10,6.91974e-09,7.99668e-10,605.569,0.00200983,0.00241283,20.186,0.0183031,6.13267,0.437397,0.159972,0.0523886,123.687,12.6885,0.253104,91.7433,6.34131e-26,5.42677e-19,553.167,0,0,-0,-0,835.318,1.8931,16.5718,0.134886,4.72306,1.82492,15.3997,52.0123,5.28798e-38,7.41191,380.724,0.054065,6.6423,14.2827,79.2764,0,0,0.745542,0.263333,0.0513854,214.941,21.2945,0.257463,91.5359,4.77447e-26,7.10039e-19,553.167,0,0,3.12607e-28,1.38481e-28,837.988,1.65016,11.1817,0.132401,3.58865,2.07614,17.6997,79.521,8.02806e-38,12.7607,378.055,0.0608816,5.14164,12.5658,80.0913,0,0,300.951,0.95136,99.0486,0.0753549,0.0354679,0.0115024,97.0533,12.813,0.0555671,4.42225,0,0,86.4202,29.7818,30.2436,183.549,12.8484
13,1956.56,26524.7,1872.33,1.17037e+07,129.525,0,0,4.04087e+06,242.582,28803,21952.8,97465.2,3.87931e+06,93274.4,1.71063e+09,9.0157,0,0,5.90621e+08,0.0318229,1.2426e+08,5.10851e+08,1.2226e+08,2.02422e+10,4.2049e+11,2139.75,1.52817e+09,4.35319e+08,6.8853e+08,0.000851379,259525,65952.9,7.12938e-09,8.55526e-09,4.82774,0,0,1.26998e+09,0.0761855,2.5813e+07,1.3554,0.241274,0.379876,1.25571,3.09254e+08,3.00999e+08,0.00411776,0.00333315,1.07347e+08,4.29959e+08,28167.5,21.9449,691.689,3769.98,0.609567,8.88809,186795,2.74047e+06,1.33518e+06,8.48603e+06,1.91777,0,0,173385,945083,1.23129,5.90836e-09,6.82811e-10,7.09003e-09,8.1936e-10,605.604,0.00205963,0.00247262,20.1871,0.0184811,6.13075,0.44814,0.163841,0.0535275,124.029,12.7188,0.247705,91.7381,6.32385e-26,5.42676e-19,553.167,0,0,-0,-0,835.303,1.89238,16.5472,0.134933,4.71948,1.82614,15.4091,52.1271,5.29987e-38,7.43366,380.739,0.0541042,6.63496,14.2748,79.2718,0,0,0.764147,0.269774,0.0524992,215.631,21.3525,0.251972,91.5256,4.7592e-26,7.10039e-19,553.167,0,0,1.91654e-26,1.01219e-26,837.967,1.64827,11.1461,0.132368,3.58042,2.07783,17.7127,79.6948,8.04605e-38,12.8001,378.076,0.0609361,5.13115,12.553,80.0848,0,0,300.951,0.95136,99.0486,0.0772344,0.0363306,0.0117516,97.3648,12.8463,0.0543778,4.42135,0,0,86.5956,29.7119,30.2081,184.038,12.8826
14,1956.57,26358.1,1872.33,1.16737e+07,124.893,0,0,4.03047e+06,225.94,26613.4,21643.3,97465.8,3.85494e+06,93274.5,1.70625e+09,9.23501,0,0,5.891e+08,0.0296397,1.31075e+08,5.03078e+08,1.22378e+08,2.02808e+10,4.08881e+11,2139.07,1.5324e+09,4.35729e+08,7.00174e+08,0.00085869,260147,66109.5,7.29893e-09,8.75871e-09,4.63497,0,0,1.27106e+09,0.0761144,2.58849e+07,1.35607,0.241324,0.379761,1.16956,3.10195e+08,3.01753e+08,0.00412005,0.00333389,1.07616e+08,4.30983e+08,28231.5,21.9461,692.06,3771.83,0.609565,8.88903,186793,2.74041e+06,1.33518e+06,8.50958e+06,1.84131,0,0,173379,945044,1.14681,6.04977e-09,6.99164e-10,7.25972e-09,8.38983e-10,605.638,0.00210927,0.00253221,20.1883,0.0186643,6.12884,0.45859,0.167602,0.0546282,124.364,12.7486,0.242701,91.7329,6.30681e-26,5.42676e-19,553.167,0,0,1.20757e-25,6.02494e-26,835.288,1.89167,16.5231,0.134978,4.71596,1.82733,15.4183,52.2396,5.31152e-38,7.45499,380.754,0.0541426,6.62778,14.2671,79.2672,0,0,0.782278,0.276045,0.0535755,216.312,21.4099,0.246882,91.5154,4.7442e-26,7.10039e-19,553.167,0,0,-0,-0,837.947,1.6464,11.1109,0.132334,3.57229,2.07949,17.7255,79.8661,8.06379e-38,12.8389,378.096,0.0609898,5.1208,12.5404,80.0784,0,0,300.951,0.95136,99.0486,0.0790641,0.0371693,0.0119923,97.6705,12.879,0.0532752,4.42045,0,0,86.7674,29.6434,30.1732,184.517,12.9162
15,1956.58,26190.2,1872.33,1.16439e+07,120.683,0,0,4.02012e+06,210.537,24590.2,21338.2,97466.4,3.83037e+06,93274.6,1.70189e+09,9.42491,0,0,5.87587e+08,0.0276191,1.37961e+08,4.95568e+08,1.22496e+08,2.03198e+10,3.97629e+11,2138.39,1.53661e+09,4.36138e+08,7.11742e+08,0.000865896,260768,66265.3,7.46778e-09,8.96133e-09,4.45974,0,0,1.27213e+09,0.0760426,2.5957e+07,1.35672,0.241376,0.379644,1.08983,3.11138e+08,3.02505e+08,0.00412245,0.00333459,1.07884e+08,4.32009e+08,28295.6,21.9473,692.59,3774.54,0.609562,8.88996,186791,2.74035e+06,1.33518e+06,8.53316e+06,1.77181,0,0,173373,945003,1.06863,6.19062e-09,7.15452e-10,7.42874e-09,8.58529e-10,605.673,0.00215872,0.00259158,20.1894,0.0188529,6.12695,0.468736,0.17125,0.0556899,124.692,12.7778,0.23806,91.7278,6.29021e-26,5.42676e-19,553.167,0,0,-0,-0,835.273,1.89098,16.4996,0.135022,4.7125,1.8285,15.4273,52.3497,5.32291e-38,7.47589,380.769,0.0541802,6.62075,14.2595,79.2628,0,0,0.799914,0.282139,0.0546136,216.984,21.4666,0.242163,91.5053,4.72951e-26,7.10038e-19,553.167,0,0,7.03672e-28,3.74618e-28,837.926,1.64455,11.0764,0.132299,3.56427,2.08113,17.738,80.0347,8.08124e-38,12.8771,378.117,0.0610426,5.11063,12.5279,80.0721,0,0,300.951,0.95136,99.0486,0.080842,0.0379831,0.0122245,97.97,12.911,0.0522528,4.41955,1.82831e-36,1.23931e-29,86.9353,29.5765,30.1392,184.986,12.949
16,1956.59,26026.8,1872.33,1.16141e+07,116.853,0,0,4.0098e+06,291.579,34496,27086.9,97467.1,3.80646e+06,93274.7,1.69754e+09,9.58845,0,0,5.86079e+08,0.0382506,1.4492e+08,4.88313e+08,1.22614e+08,2.03562e+10,3.86551e+11,2137.68,1.54083e+09,4.36547e+08,7.23234e+08,0.000873048,261385,66420.5,7.63616e-09,9.1634e-09,4.3004,0,0,1.27319e+09,0.0759748,2.60291e+07,1.3575,0.241432,0.379524,1.50934,3.12085e+08,3.03257e+08,0.00412496,0.00333536,1.08149e+08,4.33036e+08,28359.7,21.9484,693.281,3778.12,0.609559,8.89089,186789,2.74029e+06,1.33518e+06,8.55678e+06,1.70862,0,0,173367,944962,1.47998,6.33103e-09,7.31689e-10,7.59723e-09,8.78013e-10,605.706,0.00220801,0.00265075,20.1905,0.0190467,6.12505,0.478562,0.174781,0.0567112,125.013,12.8064,0.23376,91.7228,6.27405e-26,5.42676e-19,553.167,0,0,-0,-0,835.259,1.8903,16.4765,0.135066,4.70912,1.82964,15.436,52.4573,5.33406e-38,7.49634,380.783,0.054217,6.61389,14.2521,79.2584,0,0,0.817021,0.288044,0.0556121,217.646,21.5224,0.23779,91.4955,4.71513e-26,7.10038e-19,553.167,0,0,1.20419e-28,-0,837.906,1.64273,11.0425,0.132265,3.55638,2.08274,17.7504,80.2002,8.09839e-38,12.9147,378.137,0.0610945,5.10063,12.5157,80.066,0,0,300.951,0.95136,99.0486,0.0825649,0.0387707,0.0124477,98.2634,12.9424,0.0513052,4.41865,1.82285e-36,1.23931e-29,87.0992,29.5112,30.1059,185.445,12.9812
17,1956.61,25865,1872.34,1.15845e+07,113.363,0,0,3.99951e+06,271.635,31873.6,26705,97467.7,3.78278e+06,93274.8,1.6932e+09,9.72839,0,0,5.84575e+08,0.0356342,1.51949e+08,4.81306e+08,1.22731e+08,2.03927e+10,3.75795e+11,2136.95,1.54503e+09,4.36955e+08,7.34651e+08,0.00088014,261996,66574,7.80378e-09,9.36454e-09,4.15534,0,0,1.27425e+09,0.0759088,2.61014e+07,1.35828,0.241491,0.379401,1.4061,3.13034e+08,3.04008e+08,0.00412759,0.00333624,1.08412e+08,4.34065e+08,28424,21.9495,694.132,3782.58,0.609557,8.89181,186787,2.74023e+06,1.33518e+06,8.58043e+06,1.65108,0,0,173361,944920,1.37875,6.47086e-09,7.4786e-10,7.76503e-09,8.97417e-10,605.74,0.00225711,0.0027097,20.1917,0.0192457,6.12317,0.488061,0.178193,0.0576915,125.328,12.8345,0.229776,91.7178,6.25827e-26,5.42676e-19,553.167,0,0,-0,-0,835.245,1.88963,16.454,0.135107,4.70579,1.83076,15.4446,52.5628,5.34498e-38,7.51641,380.797,0.054253,6.60716,14.2449,79.2542,0,0,0.83359,0.293758,0.0565704,218.298,21.5775,0.233737,91.4859,4.70105e-26,7.10038e-19,553.167,0,0,1.31294e-25,6.57836e-26,837.886,1.64093,11.0092,0.132231,3.5486,2.08432,17.7625,80.363,8.11525e-38,12.9517,378.157,0.0611454,5.09081,12.5036,80.0599,0,0,300.951,0.95136,99.0486,0.0842321,0.0395317,0.012662,98.5514,12.9731,0.0504271,4.41777,1.81752e-36,1.23931e-29,87.2598,29.4472,30.0732,185.895,13.0127
18,1956.62,25704.8,1872.34,1.15549e+07,110.179,0,0,3.98926e+06,253.173,29450.6,26328.5,97468.3,3.75933e+06,93274.9,1.68888e+09,9.84717,0,0,5.83077e+08,0.0332123,1.59048e+08,4.74542e+08,1.22849e+08,2.04295e+10,3.65369e+11,2136.22,1.54922e+09,4.37364e+08,7.45991e+08,0.000887133,262604,66726.2,7.97057e-09,9.56468e-09,4.02297,0,0,1.2753e+09,0.075842,2.61737e+07,1.35903,0.241554,0.379276,1.31053,3.13985e+08,3.04758e+08,0.00413032,0.00333711,1.08674e+08,4.35095e+08,28488.3,21.9506,695.144,3787.91,0.609553,8.89274,186785,2.74016e+06,1.33518e+06,8.60412e+06,1.59857,0,0,173355,944876,1.28505,6.61001e-09,7.63952e-10,7.93201e-09,9.16728e-10,605.773,0.00230599,0.00276838,20.1928,0.0194498,6.1213,0.49724,0.181487,0.058632,125.637,12.8621,0.226078,91.713,6.24288e-26,5.42675e-19,553.167,0,0,-0,-0,835.231,1.88898,16.4319,0.135148,4.70252,1.83185,15.453,52.6661,5.35568e-38,7.53608,380.811,0.0542883,6.60058,14.2378,79.25,0,0,0.849626,0.299282,0.0574897,218.94,21.6317,0.229976,91.4766,4.68727e-26,7.10038e-19,553.167,0,0,1.82089e-27,8.69357e-28,837.867,1.63916,10.9765,0.132196,3.54095,2.08587,17.7744,80.5228,8.13181e-38,12.9881,378.176,0.0611954,5.08116,12.4918,80.054,0,0,300.951,0.95136,99.0486,0.0858442,0.0402666,0.0128674,98.8338,13.0033,0.0496121,4.4169,1.81233e-36,1.23931e-29,87.4169,29.3847,30.0413,186.336,13.0436
19,1956.63,25546.2,1872.34,1.15255e+07,107.271,0,0,3.97904e+06,236.084,27211.7,25957.3,97468.9,3.73612e+06,93275.1,1.68457e+09,9.94702,0,0,5.81582e+08,0.0309705,1.66217e+08,4.68013e+08,1.22965e+08,2.04667e+10,3.55267e+11,2135.49,1.55339e+09,4.37771e+08,7.57257e+08,0.000894024,263211,66877.7,8.13645e-09,9.76374e-09,3.90194,0,0,1.27635e+09,0.0757745,2.62461e+07,1.35977,0.24162,0.379149,1.22207,3.14938e+08,3.05507e+08,0.00413314,0.00333794,1.08934e+08,4.36127e+08,28552.7,21.9516,696.319,3794.13,0.60955,8.89366,186782,2.7401e+06,1.33518e+06,8.62784e+06,1.55056,0,0,173349,944832,1.19831,6.74842e-09,7.79959e-10,8.09811e-09,9.35936e-10,605.806,0.00235461,0.00282675,20.1939,0.019659,6.11943,0.506099,0.184664,0.0595334,125.939,12.8891,0.222644,91.7082,6.22789e-26,5.42675e-19,553.167,0,0,3.13608e-27,8.88333e-28,835.218,1.88833,16.4102,0.135188,4.69932,1.83292,15.4613,52.7672,5.36615e-38,7.55533,380.824,0.0543228,6.59414,14.2308,79.2459,0,0,0.865133,0.304619,0.0583708,219.57,21.6851,0.226482,91.4674,4.6738e-26,7.10038e-19,553.167,0,0,-0,-0,837.848,1.63742,10.9444,0.132161,3.53343,2.08739,17.786,80.6797,8.14805e-38,13.0238,378.195,0.0612445,5.0717,12.4801,80.0481,0,0,300.951,0.95136,99.0486,0.0874016,0.0409754,0.0130643,99.1103,13.0328,0.048855,4.41605,2.6682e-36,1.82967e-29,87.5703,29.3236,30.01,186.768,13.0738
20,1956.64,25389.3,1872.34,1.14961e+07,104.61,0,0,3.96886e+06,315.563,36918.3,31640.9,97469.5,3.71316e+06,93275.2,1.68029e+09,10.0299,0,0,5.80093e+08,0.0413968,1.73453e+08,4.61713e+08,1.23082e+08,2.05014e+10,3.45334e+11,2134.73,1.55756e+09,4.38179e+08,7.68448e+08,0.000900863,263814,67028.7,8.30168e-09,9.96202e-09,3.7912,0,0,1.27739e+09,0.0757108,2.63185e+07,1.36062,0.241689,0.379021,1.63349,3.15893e+08,3.06256e+08,0.00413605,0.00333883,1.09192e+08,4.3716e+08,28617.2,21.9526,697.657,3801.23,0.609546,8.89457,186780,2.74003e+06,1.33518e+06,8.6516e+06,1.50663,0,0,173342,944786,1.60172,6.88624e-09,7.95897e-10,8.26349e-09,9.55061e-10,605.839,0.00240302,0.00288487,20.195,0.0198733,6.11757,0.514636,0.187724,0.0603956,126.235,12.9156,0.219454,91.7036,6.21328e-26,5.42675e-19,553.167,0,0,-0,-0,835.205,1.8877,16.3891,0.135227,4.69618,1.83397,15.4693,52.866,5.37638e-38,7.57418,380.838,0.0543565,6.58785,14.2241,79.2419,0,0,0.8801,0.309765,0.0592135,220.19,21.7376,0.223237,91.4586,4.66065e-26,7.10038e-19,553.167,0,0,-0,-0,837.829,1.6357,10.9129,0.132127,3.52604,2.08887,17.7974,80.8334,8.16398e-38,13.0589,378.214,0.0612925,5.06242,12.4687,80.0424,0,0,300.951,0.95136,99.0486,0.0889036,0.0416581,0.0132526,99.3811,13.0617,0.0481518,4.41521,2.66092e-36,1.82967e-29,87.7202,29.2639,29.9795,187.19,13.1033
21,1956.65,25234.1,1872.34,1.14669e+07,102.17,0,0,3.95871e+06,294.168,34111.7,31194.8,97470.1,3.69044e+06,93275.3,1.67601e+09,10.0976,0,0,5.7861e+08,0.0385902,1.80755e+08,4.55636e+08,1.23198e+08,2.05362e+10,3.35693e+11,2133.96,1.56171e+09,4.38586e+08,7.79563e+08,0.000907645,264413,67178.2,8.46596e-09,1.01592e-08,3.68975,0,0,1.27843e+09,0.0756487,2.63911e+07,1.36147,0.241761,0.378889,1.52274,3.1685e+08,3.07004e+08,0.00413907,0.00333983,1.09449e+08,4.38194e+08,28681.8,21.9536,699.159,3809.22,0.609542,8.89549,186778,2.73996e+06,1.33518e+06,8.67538e+06,1.46638,0,0,173336,944740,1.49313,7.02333e-09,8.1175e-10,8.428e-09,9.74085e-10,605.872,0.00245119,0.0029427,20.1961,0.0200927,6.11572,0.522856,0.190668,0.0612194,126.526,12.9416,0.21649,91.6991,6.19901e-26,5.42675e-19,553.167,0,0,-0,-0,835.192,1.88708,16.3684,0.135265,4.69309,1.83499,15.4772,52.9628,5.38641e-38,7.59267,380.85,0.0543895,6.58168,14.2174,79.238,0,0,0.894537,0.314723,0.0600186,220.8,21.7893,0.220222,91.45,4.64777e-26,7.10037e-19,553.167,0,0,-0,-0,837.811,1.63402,10.8821,0.132092,3.51877,2.09033,17.8086,80.9844,8.17963e-38,13.0933,378.232,0.0613397,5.05331,12.4575,80.0368,0,0,300.951,0.95136,99.0486,0.090351,0.042315,0.0134325,99.647,13.09,0.0474983,4.4144,-0,-0,87.867,29.2055,29.9496,187.604,13.1323
22,1956.67,25080.6,1872.35,1.14377e+07,99.9309,0,0,3.94859e+06,274.361,31518.5,30755,97470.7,3.66797e+06,93275.4,1.67175e+09,10.1517,0,0,5.77131e+08,0.0359919,1.88123e+08,4.49776e+08,1.23314e+08,2.05714e+10,3.26352e+11,2133.19,1.56585e+09,4.38993e+08,7.90604e+08,0.000914332,265008,67326.4,8.62924e-09,1.03551e-08,3.59651,0,0,1.27946e+09,0.0755859,2.64637e+07,1.3623,0.241837,0.378755,1.42021,3.17808e+08,3.07752e+08,0.00414217,0.00334083,1.09703e+08,4.39229e+08,28746.4,21.9546,700.824,3818.11,0.609538,8.8964,186776,2.73989e+06,1.33518e+06,8.6992e+06,1.42939,0,0,173329,944692,1.39259,7.15959e-09,8.27508e-10,8.59151e-09,9.92994e-10,605.904,0.00249907,0.00300018,20.1971,0.0203169,6.11387,0.530774,0.193502,0.0620069,126.811,12.9672,0.213731,91.6947,6.18508e-26,5.42674e-19,553.167,0,0,-0,-0,835.179,1.88647,16.3481,0.135302,4.69006,1.83599,15.4849,53.0577,5.39624e-38,7.61081,380.863,0.0544219,6.57564,14.2109,79.2342,0,0,0.908469,0.319504,0.0607882,221.4,21.8402,0.217414,91.4417,4.63518e-26,7.10037e-19,553.167,0,0,-0,-0,837.793,1.63236,10.8518,0.132057,3.51162,2.09177,17.8196,81.1326,8.19498e-38,13.1272,378.25,0.0613859,5.04437,12.4465,80.0313,0,0,300.951,0.95136,99.0486,0.0917466,0.0429473,0.0136043,99.9077,13.1178,0.0468898,4.4136,0,0,88.0107,29.1483,29.9202,188.01,13.1607
